,sent1,sent2,source,model,og,qid
37,"To take the shortest of these routes to save resources, for example, gasoline.","For example, fuel can be saved by the shortest route.",student,gpt2,1,50
38,"On the contrary, they demonstrated that the linear number of messages required only a very long time to calculate the algorithm.","On the other hand, the authors showed an algorithm using a linear number of messages but requiring very large running time.",cs_conf,gpt2,2,28
39,"While there are plenty of simple (and not so simple) network models, little is known as to which of them are really supported by data.","While there are plenty of simple and non-simple networks, little is known about which models are actually working.",cs_conf,gpt2,1,32
40,Planning out the necessary planning and programming language for the management of the data science and the appropriate programming language.,Plan your respective roadmap to master data science and the respective programming language you plan to learn.,medium,gpt2,2,39
41,"The same way, you can reference the environment name of each project folder, and in any automation script, using the same syntax.","This means, for any project folder you are working on, you can reference the environment name the same way, and use in any on your automation scripts in a consistent manner.",medium,gpt2,2,37
42,"The other attributes relate to supporting metadata, which can be used, if desired, to decide if a certain mail should be classified as spam or ham.","The other attributes are supporting metadata, which can be used as well to decide to classify the mail as spam or ham.",student,t5,2,18
43,"This statistic can be further compared to those for model input and model output, to assess style transfer success.",Style transfer success can then be evaluated comparing these statistics on model input and model output,student,t5,2,22
44,"Finding out how they feel, feel, and behave is beyond their immediate requests.","Go beyond their direct asks and find out how they think, feel, and act.",medium,gpt2,2,42
45,"As we manually annotate the test sets, we'll use the data from the twitter api.",We will use the test set from this twitter data as they are manually annotated.,student,gpt2,2,49
46,Our bounds are never worse than the old bounds.,One can always assume that our bound is better than the old bound.,cs_conf,t5,1,7
47,"This means, for any project folder you are working on, you can reference the environment name the same way, and use in any on your automation scripts in a consistent manner.","The same way, you can reference the environment name of each project folder, and in any automation script, using the same syntax.",medium,gpt2,1,37
48,We can then use the charts of the second h-statistic to identify the other features they are interacting with.,We then exploit the diagrams in the second h-statistic to determine which other features they interact with.,medium,t5,1,15
49,This inspired me for writing another tutorial: the one you are reading.,And so i've written another tutorial: i'm writing a tutorial now.,medium,gpt2,1,43
50,"When we observe the call, we will agree to all of the calls automatically, which will increase our loss if the source produces spit calls.",As long as we are observing we are automatically accepting all calls and thus will increase our loss if the source turns out to produce spit calls.,cs_conf,t5,2,8
51,The body of the rule is the component which derives in the head.,The head of the rule is the part that will derive based on the body.,student,t5,2,25
52,"Using the abstraction theorem, we can obtain the main result that typable terms are normalizing.",We can derive the main result that typable terms are normalized by using the abstraction theorem.,cs_conf,t5,1,4
53,Two parts are needed for checking the structure of our data.,"In order to check the structure of our data with shex, we need two components.",student,gpt2,2,46
54,"Missing value imputation missing data can reduce the statistical power of a study and can produce biased estimates, leading to invalid conclusions.","Missing value imputation missing data reduces the statistical power of the study and can produce biased estimates, leading to invalid conclusions.",student,t5,1,20
55,"I had to find a way to monitor the workbooks so if there are errors, i can be notified right away.","The way to monitor the workbooks was that if an error happened, i would be notified of it immediately.",medium,t5,1,14
56,"If we could implement this sharing of knowledge, we created separate iris within our ken namespaces for each cuisine and ingredient.",For every cuisine and ingredient a separate iri was created within our namespace ken to implement the idea of this shared knowledge.,student,t5,2,21
57,It does not scale to produce this many clusters.,This number does not grow with the help of such a large number of clusters.,cs_conf,gpt2,1,35
58,The ones that had the skills mentioned below were incredible to work with and we were capable of accomplishing great things in our projects.,"The work we have done is incredible, and we can do great things for it by working with those who are familiar with these skills.",medium,gpt2,1,36
