,original,paraphrase
17,"a big advantage of relational representation in the case of this task is that we can have separate tables describing the movies, the actors of the movies, the awards of the actors, etc.","a major advantage of relational representations in such a work is that we may have separate tables describing movie titles, movie actors, movie awards and so on."
18,we will use the test set from this twitter data as they are manually annotated.,"for manual annotation of the data from twitter, we'll use the test set."
19,the constraint requires either both of the truck variables to be set to one or one of them to be set to two to meet the constraint.,this constraint needs either that two of the truck variables are set to one or that one of them is set to two in order to satisfy the constraint.
20,now we are going to present our approach towards this assignment.,we now turn to present our approach towards this goal.
21,"on the left side of the equation, there is the sum of the decision variable whether to send request r externally ser and the sum over all lanes whether to send request r via lane",the left side of eq. shows the sum over all lanes of the decision variable whether to forward the request to external ser or to postpone it by lane.
22,but we also left a choice for cases where the users really liked or disliked a certain recommendation to indicate this.,"however, we left it for the case that users really liked or disliked a particular recommendation, so they could indicate that."
23,the variable slr is extended to the dimension of the allowed days delay.,the dimension of allowed days delay is extended to the dimension of variable slr.
24,"additionally, every possible move will be evaluated with different player strengths using the internal monte carlo tree search, an heuristic method to evaluate the value of a move using sampling.","additionally, an internal monte carlo tree search, a heuristic method to evaluate the value of a move via sampler, evaluates all possible moves with different strengths of players."
25,"so i tried to fetch one image, not containing ships, from the same satellite image that i used that contained a ship.","for example, i wanted to use a different satellite image than i did that does not contain ships, and retrieved one of the same satellite images that contained ships."
26,the first step is import the libraries and read the csv file that contains the dataset.,"first, read from the csv file which includes the dataset, and import the library into the library."
27,"to train the neural network, we need to generate the triplets.",we now need to generate the triplets that are needed for neural network training.
28,you can find them at the uci machine learning repository.,they can be found in the uci machine learning repository.
29,working with text data is always presenting us with new challenges.,working with textual data always introduces new challenges.
30,we can then use the charts of the second h-statistic to identify the other features they are interacting with.,"when the two other h-statistics interact with it, we are able to use the charts of the second h-statistic to identify other features that affect it."
31,the initial thought was to solve it by increasing the number of shards.,"initially, it was thought that one could solve it by increasing the number of shards."
32,note that we chose a scoring method (in this case root mean squared log error rmsle ) and the initial model is xgbregressor because it is a regression problem (the other option would be a classification problem).,note that we choose to use scoring (in this case root mean squared log error rmsle) and our starting model is xgbregressor because it is a regression problem (a second option would be a classification one).
33,"teams will need to consider features, pricing, and their existing architecture to choose their best cloud mongodb solution.","in order to find the right cloud mongodb solution, teams need to take into account features, pricing, and their existing architecture."
34,the easiest way to understand all this is with an example.,an example would be the easiest to understand all of these points.
35,"i think the difficulty which comes with configuration, in general, is knowing that you can overdo it.",i believe the hardness of configuration for general purposes is the awareness of the fact that one may overcomplicate.
36,"it can be easy enough to write an algorithm that finds duplicates of the exact same image, but what if two images are only slightly different, varying only by a slight lighting change or pixel values?","the reasoning is that it would be easy enough to write an algorithm that finds duplicates of the exact same image, but what if two images differ only by a slight change in light and the values of their pixel values?"
37,"subsequently, all we had to do was calculate the minimum distance between the address against a list of schools or mrt stations.",so we only needed to compute the minimal distance for the address versus a list of ems or mrt stations.
38,"to better isolate these colors, we can make use of the hsv color space.","if we use the hsv color space, we can use the ebm color space to better isolate these colors."
39,"yet after listening to the insights you discovered, your project sponsor shook his head.","however, the project sponsor shook his head in disbelief when he heard the insights you had discovered."
40,in years we specify the years we want in our resulting panel data.,"we describe the datasets our results indicate in terms of years, while we also specify the years we want to appear in the datasets."
41,"this turned the predicted uplift in probability into an estimate of the revenue uplift due to the phone call, allowing us to rank borrowers on how valuable it would be to call them.","we turned the uplift in expected probability into an estimate of the revenue uplift due to the phone call, which allows us to rank borrowers according to how valuable they felt calling them."
42,"if you liked this article, you might also be interested in one of the following:","if you liked the article, we hope that you may also be interested in the following results."
43,"the thing is, as the network goes deeper (depth is increasing), its performance gets saturated and starts degrading.","the problem is that if the network is much deeper (the depth of the network grows with the size of the network), its performance becomes saturated and then begins degrades."
44,pandas and numpy are the two libraries that are at your disposal to go from dirty data to ready-to-analyze data.,"those two libraries are pandas and numpy, and can be applied at runtime to go from data that is dirty to data ready for analytic operations."
45,"and to the extent that safety is a concern, you might not want an arbitrarily powerful language model that can plot and scheme.","if safety is a concern, then one might not want to find some arbitrarily powerful language model that is plottable and schemal."
46,"so, we decided to create a new tutorial, based on real-world data.",we therefore proposed a new tutorial based on the real-world data.
47,"if your code is poorly written, it will be hard to test and expand on.",it will be difficult to test and extend on a poorly written code.
48,"we collaborated closely, and our scientists and engineers love each other.",we collaborated closely and our scientists and engineers were in love with each other.
49,i also use unittest in my major projects which is a python built-in library.,"my major projects include using the python built-in module library, unittest."
